ixdat version = 0.2.3
name = 01 Reshma1A 18H28 18H28_RuO2.pkl
technique = EC-MS
tstamp = 1535470034.0204
backend_name = BackendBase(none, address=none)
id = 1
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M32' and 'M72' and 'M44' and 'M2' and 'M34' and 'M20' and 'M40' and 'M4' and 'M36' and 'M18' and 'M28'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["I/mA"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M32,	M72,	M44,	M2,	M34,	M20,	M40,	M4,	M36,	M18,	M28
120,	0.6484677265936961,	0.011540295582592251,	1.0,	5.7672807260914244e-11,	2.0128629809299384e-13,	2.407775283186164e-12,	1.874161951775784e-11,	9.984834919551197e-13,	2.8066945839224188e-11,	2.274355829383107e-12,	5.639669348791315e-09,	3.2173628353164335e-13,	4.5892547249983273e-10,	2.830561873192366e-10
122,	0.6578119796733272,	0.013333787295845967,	1.0,	3.3934921177804964e-11,	1.9916798709791537e-13,	2.2413885882935392e-12,	1.9218112638445602e-11,	9.272296098192327e-13,	2.7666531525506128e-11,	1.7328823233963833e-12,	5.758320132034386e-09,	3.2034208103665714e-13,	4.57316919683984e-10,	1.3082112084913863e-10
124,	0.6664985632834532,	0.01650922042182296,	1.0,	2.0815967264363305e-11,	1.9199154968900618e-13,	2.3447455956266387e-12,	1.9470831512578884e-11,	8.932861157762062e-13,	2.7679601378912388e-11,	9.687405475461688e-13,	5.86720524241776e-09,	3.2892096943576007e-13,	4.60407154474163e-10,	5.152574790017905e-11
126,	0.679943700824786,	0.02170545459977378,	1.0,	2.0631561636899584e-11,	1.892380654745772e-13,	2.531702447578205e-12,	1.8836992599144742e-11,	8.588181431919164e-13,	2.7751998520544693e-11,	7.780740390075695e-13,	5.88224314654754e-09,	2.8988598804369495e-13,	4.5789582308250544e-10,	2.782283953450555e-11
128,	0.6887846003247499,	0.029164891680392536,	1.0,	2.7124530914551856e-11,	1.8984723535815365e-13,	2.51295676170622e-12,	1.88978488179029e-11,	9.260802793352085e-13,	2.788749223949725e-11,	7.174097311556153e-13,	5.895974895801169e-09,	3.348938601365417e-13,	4.603471485170407e-10,	2.1689468954775065e-11
130,	0.6959001147967542,	0.03876755528272036,	1.0,	4.069523632822906e-11,	1.904564052417301e-13,	2.8894846689933482e-12,	1.85987203810389e-11,	9.17814548249232e-13,	2.7788988827694255e-11,	6.916132146971992e-13,	5.867491539867602e-09,	3.209063595123899e-13,	4.602025011779268e-10,	1.977680684056501e-11
132,	0.707370057503162,	0.0500365199498839,	1.0,	6.347554747223217e-11,	1.9106557512530656e-13,	2.6931125419186073e-12,	1.8912980809275604e-11,	9.677951092323207e-13,	2.7600023260027958e-11,	6.27928403517821e-13,	5.835132170603182e-09,	3.1549352250818946e-13,	4.6015020973171804e-10,	1.9468373261057916e-11
134,	0.7173885158199886,	0.0625312988415844,	1.0,	9.24017511169669e-11,	1.91674745008883e-13,	2.9369739044033203e-12,	1.8761155830567923e-11,	1.2012354416535697e-12,	2.7573682574086165e-11,	6.820626435496741e-13,	5.791512651263249e-09,	3.203866616326026e-13,	4.598082966615933e-10,	1.9219119471343786e-11
136,	0.7275156107493089,	0.07587392869792024,	1.0,	1.2818827352671364e-10,	1.9228391489245945e-13,	3.050062994340707e-12,	1.8628139756097602e-11,	1.3044238311311051e-12,	2.7704882071931842e-11,	6.515248809510336e-13,	5.733815656297199e-09,	3.3242016413486947e-13,	4.584259553232071e-10,	1.9053433653587028e-11
138,	0.7333352549443809,	0.08627644310674959,	1.0,	1.7064559012284645e-10,	1.9289308477603592e-13,	3.311973150806395e-12,	1.8645478402075004e-11,	1.508015550254651e-12,	2.8041668682789862e-11,	6.280142560946774e-13,	5.671963319168018e-09,	3.3285300187857625e-13,	4.583955073972586e-10,	1.8784682144954145e-11
140,	0.7261024380311696,	0.0715615145939237,	1.0,	2.1603150284561896e-10,	1.9350225465961236e-13,	3.243198738832468e-12,	1.9153590901044207e-11,	1.8092970589117928e-12,	2.7224114069284788e-11,	6.198015868686025e-13,	5.592898531004627e-09,	3.2590364630470157e-13,	4.5721466864163847e-10,	1.8438074016453378e-11
142,	0.7145435775346846,	0.0577072508157269,	1.0,	2.630270359746976e-10,	2.0162911030108962e-13,	3.226568647685183e-12,	1.9177886218349758e-11,	1.9807768292118613e-12,	2.762805050137897e-11,	6.882267487453295e-13,	5.5057131358946666e-09,	2.975115977617621e-13,	4.5420893984571237e-10,	1.867142184601319e-11
144,	0.7042146815363627,	0.044636534078988405,	1.0,	2.824962382650151e-10,	1.9749056066657997e-13,	3.4248834943911725e-12,	1.869474606784967e-11,	1.918869834203593e-12,	2.7097208765406738e-11,	6.188066951732519e-13,	5.508659136945613e-09,	2.960912835729755e-13,	4.546302856141851e-10,	1.854668069459607e-11
146,	0.6959227292493566,	0.03259735833719179,	1.0,	2.574896606534503e-10,	1.9884082673609758e-13,	3.4092420036124674e-12,	1.8895884093644548e-11,	1.911808353428716e-12,	2.7328301399562023e-11,	6.493022320101386e-13,	5.546653875609383e-09,	3.2432516065075184e-13,	4.5680756806825144e-10,	1.865759626102881e-11
148,	0.6848764074085933,	0.02193952255620938,	1.0,	2.2021727854881902e-10,	2.0160064839022831e-13,	3.5921576031193515e-12,	1.8669153865878345e-11,	1.712862992217303e-12,	2.7493539669266723e-11,	6.576731567959028e-13,	5.588131903543872e-09,	3.202786402744979e-13,	4.607351257318462e-10,	1.8999221401004732e-11
150,	0.6743949803367785,	0.013032610633649992,	1.0,	1.7607325111229648e-10,	2.0391701101325225e-13,	3.521779385313498e-12,	1.8712512893697545e-11,	1.5607518327658812e-12,	2.7280310188375075e-11,	6.578455869756521e-13,	5.647769577367784e-09,	3.4567215606359645e-13,	4.5441588410887134e-10,	1.8404802112748936e-11
